Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
ACWX,ETF,0.34%,$0.57,2.75%,"$1,617.40 ",35.4," 396,692 ", 1.12 ,,,,,,,,,,,,,
MLPI,ETN,0.85%,$0.45,4.51%,"$1,571.20 ",39.8," 202,777 ", 1.24 ,,,,,,,,,,,,,
IOO,ETF,0.40%,$0.74,2.37%,"$1,558.80 ",20.3," 53,320 ", 1.00 ,,,,,,,,,,,,,
OIH,ETF,0.35%,$0.54,1.13%,"$1,515.10 ",31.6," 4,151,249 ", (1.58),,,,,,,,,,,,,
VIS,ETF,0.14%,$1.06,2.56%,"$1,514.00 ",15.2," 134,531 ", 1.15 ,,,,,,,,,,,,,
SCHD,ETF,0.07%,$0.25,2.47%,"$1,491.20 ",40.8," 358,553 ", 0.95 ,,,,,,,,,,,,,
SH,ETF,0.95%,$11.98,,"$1,461.50 ",57.7," 3,349,558 ", (1.00),,,,,,,,,,,,,
PGF,ETF,0.60%,$0.10,6.65%,"$1,412.90 ",83.7," 519,022 ", (0.38),,,,,,,,,,,,,
FIGY,ETN,0.64%,,,"$1,399.10 ",12.3," 6,730 ", 1.86 ,,,,,,,,,,,,,
SDS,ETF,0.95%,$11.49,,"$1,379.80 ",46.1," 9,575,141 ", (2.00),,,,,,,,,,,,,
USO,Commodity Pool,0.45%,,,"$1,375.00 ",38.7," 5,488,388 ", 1.42 ,,,,,,,,,,,,,
VCR,ETF,0.14%,$0.91,1.93%,"$1,351.90 ",12.6," 103,717 ", 1.18 ,,,,,,,,,,,,,
IEFA,ETF,0.14%,$0.54,2.19%,"$1,331.80 ",22.2," 168,898 ", 1.08 ,,,,,,,,,,,,,
VPU,ETF,0.14%,$0.80,3.74%,"$1,317.30 ",15.9," 90,188 ", (1.00),,,,,,,,,,,,,
ECON,ETF,0.85%,$0.11,0.40%,"$1,282.20 ",48.6," 286,181 ", (1.54),,,,,,,,,,,,,
GVI,ETF,0.20%,$0.15,1.80%,"$1,266.50 ",11.6," 59,178 ", (0.26),,,,,,,,,,,,,
