Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
DSLV,ETN,1.65%,,,$19.10 ,0.4," 127,277 ", 8.47 ,,,,,,,,,,,,,
QMN,ETF,0.75%,$0.06,0.25%,$19.10 ,0.8," 12,459 ", (0.38),,,,,,,,,,,,,
BBVX,ETN,1.35%,,,$18.80 ,0.1," 1,737 ", 5.72 ,,,,,,,,,,,,,
DAG,ETN,0.75%,,,$18.70 ,2.5," 14,194 ", (1.54),,,,,,,,,,,,,
FNDE,ETF,0.46%,$0.14,0.52%,$18.50 ,0.7," 10,297 ", (1.54),,,,,,,,,,,,,
SDYL,ETN,0.30%,$0.25,4.80%,$18.20 ,0.4," 2,482 ", 1.98 ,,,,,,,,,,,,,
MWN,ETF,0.95%,,,$18.10 ,0.7," 63,558 ", (3.56),,,,,,,,,,,,,
BZQ,ETF,0.95%,,,$18.00 ,0.2," 12,328 ", 4.62 ,,,,,,,,,,,,,
EDEN,ETF,0.53%,$0.02,0.04%,$17.80 ,0.4," 5,675 ", 1.44 ,,,,,,,,,,,,,
UBT,ETF,0.95%,$0.06,0.18%,$17.80 ,0.4," 11,584 ", (2.52),,,,,,,,,,,,,
GRU,ETN,0.75%,,,$17.50 ,3," 4,827 ", (1.14),,,,,,,,,,,,,
TECS,ETF,0.95%,,,$17.50 ,0.8," 38,178 ", (2.96),,,,,,,,,,,,,
ADRU,UIT,0.40%,$0.47,2.81%,$17.30 ,0.7," 3,686 ", 1.10 ,,,,,,,,,,,,,
CZI,ETF,0.95%,,,$17.30 ,1,, -   ,,,,,,,,,,,,,
GASL,ETF,0.95%,$0.08,0.38%,$17.30 ,0.5," 73,542 ", 6.45 ,,,,,,,,,,,,,
LSKY,ETN,0.60%,,,$16.70 ,0.4," 1,844 ", 5.81 ,,,,,,,,,,,,,
ASDR,ETF,0.65%,$0.46,1.22%,$16.60 ,0.3," 12,608 ", (9.78),,,,,,,,,,,,,
EFO,ETF,0.95%,$0.02,0.03%,$16.60 ,0.2," 2,461 ", 2.63 ,,,,,,,,,,,,,
EMAG,ETF,0.49%,$0.09,4.46%,$16.50 ,0.7," 5,167 ", (1.79),,,,,,,,,,,,,
INXX,ETF,0.85%,$0.19,1.74%,$16.50 ,1.6," 12,705 ", (4.51),,,,,,,,,,,,,
UKF,ETF,0.95%,$0.05,0.10%,$16.40 ,0.2, 590 , 1.64 ,,,,,,,,,,,,,
HECO,ETF,0.95%,$0.13,0.39%,$16.30 ,0.5," 26,071 ", 1.81 ,,,,,,,,,,,,,
FNDC,ETF,0.46%,$0.18,0.65%,$16.20 ,0.6," 10,959 ", 1.08 ,,,,,,,,,,,,,
ANGL,ETF,0.40%,$0.13,6.37%,$16.10 ,0.6," 2,841 ", 0.84 ,,,,,,,,,,,,,
CAPE,ETN,0.45%,,,$16.10 ,0.2," 1,561 ", 0.95 ,,,,,,,,,,,,,
BARL,ETN,0.79%,,,$16.00 ,0.4," 4,454 ", 6.73 ,,,,,,,,,,,,,
CCX,ETF,0.55%,,,$16.00 ,0.8," 6,027 ", (0.73),,,,,,,,,,,,,
MES,ETF,0.98%,$0.55,2.06%,$16.00 ,0.6," 5,544 ", 1.69 ,,,,,,,,,,,,,
RSXJ,ETF,0.67%,$1.20,2.87%,$16.00 ,0.4," 14,973 ", 1.69 ,,,,,,,,,,,,,
XRO,ETF,0.60%,$0.10,0.37%,$16.00 ,0.6," 2,059 ", 1.01 ,,,,,,,,,,,,,
BDH,Grantor Trust,,$0.01,1.20%,$15.90 ,1.2," 9,797 ", 1.27 ,,,,,,,,,,,,,
CNDA,ETF,0.69%,$0.87,4.11%,$15.90 ,0.8," 2,990 ", (1.48),,,,,,,,,,,,,
PSI,ETF,0.60%,$0.03,0.99%,$15.80 ,0.9," 4,008 ", 1.62 ,,,,,,,,,,,,,
MATH,ETF,1.58%,$0.23,0.78%,$15.70 ,0.5," 18,019 ", 1.04 ,,,,,,,,,,,,,
EFNL,ETF,0.53%,$0.01,0.03%,$15.60 ,0.5," 7,330 ", 1.68 ,,,,,,,,,,,,,
PMNA,ETF,0.70%,$0.18,3.69%,$15.60 ,1.3," 4,030 ", 1.37 ,,,,,,,,,,,,,
PGM,ETN,0.75%,,,$15.50 ,0.5," 3,160 ", (2.06),,,,,,,,,,,,,
RKH,ETF,0.35%,$0.35,3.59%,$15.50 ,0.3," 1,966 ", 1.26 ,,,,,,,,,,,,,
BSJJ,ETF,0.42%,$0.07,0.52%,$15.40 ,0.6," 12,550 ", 0.24 ,,,,,,,,,,,,,
IBDA,ETF,0.10%,$0.09,0.40%,$15.10 ,0.2," 3,423 ", 0.33 ,,,,,,,,,,,,,
YYY,ETF,1.65%,$0.20,4.28%,$15.10 ,0.7," 17,578 ", 0.71 ,,,,,,,,,,,,,
CCVX,ETN,1.35%,,,$15.00 ,0.1," 2,209 ", 3.63 ,,,,,,,,,,,,,
RVNU,ETF,0.30%,$0.07,1.65%,$15.00 ,0.7," 7,498 ", (0.50),,,,,,,,,,,,,
BSCL,ETF,0.24%,$0.05,1.19%,$14.90 ,0.8," 11,111 ", 0.49 ,,,,,,,,,,,,,
UST,ETF,0.95%,$0.01,0.02%,$14.90 ,0.3," 386,867 ", (1.11),,,,,,,,,,,,,
FIO,ETF,0.48%,,,$14.80 ,0.5," 1,796,511 ", 3.39 ,,,,,,,,,,,,,
UKK,ETF,0.95%,$0.01,0.01%,$14.80 ,0.2," 2,725 ", 3.87 ,,,,,,,,,,,,,
DDVX,ETN,1.35%,,,$14.70 ,0.1, 950 , 3.31 ,,,,,,,,,,,,,
FNIO,ETF,0.48%,$0.32,3.36%,$14.70 ,0.5," 5,088 ", (1.40),,,,,,,,,,,,,
EMCD,ETF,0.50%,$0.11,4.48%,$14.60 ,0.5," 4,228 ", (1.61),,,,,,,,,,,,,
BRAQ,ETF,0.77%,$0.24,1.51%,$14.50 ,0.9," 6,372 ", (2.02),,,,,,,,,,,,,
ENGN,ETF,0.30%,$0.12,2.88%,$14.50 ,0.3," 3,458 ", 1.54 ,,,,,,,,,,,,,
EMFM,ETF,0.58%,,,$14.40 ,0.6,, -   ,,,,,,,,,,,,,
MLPJ,ETF,0.75%,$0.24,6.61%,$14.40 ,0.9," 5,679 ", 0.80 ,,,,,,,,,,,,,
OTR,ETF,0.60%,$0.15,0.45%,$14.40 ,0.5," 8,908 ", 1.17 ,,,,,,,,,,,,,
IPK,ETF,0.50%,$0.27,1.77%,$14.30 ,0.5," 2,887 ", 1.67 ,,,,,,,,,,,,,
UKW,ETF,0.95%,$0.02,0.03%,$14.30 ,0.2, 869 , 1.97 ,,,,,,,,,,,,,
WREI,ETF,0.32%,$0.33,3.19%,$14.30 ,0.4," 5,557 ", (1.43),,,,,,,,,,,,,
ROI,ETF,0.38%,$0.15,1.56%,$13.90 ,0.4," 3,805 ", 1.14 ,,,,,,,,,,,,,
PERM,ETF,0.49%,$0.21,0.90%,$13.80 ,0.6," 5,014 ", (1.05),,,,,,,,,,,,,
XTL,ETF,0.35%,$0.25,2.47%,$13.80 ,0.3," 6,453 ", 1.33 ,,,,,,,,,,,,,
EEVX,ETN,1.35%,,,$13.70 ,0.1, 689 , 3.73 ,,,,,,,,,,,,,
TNDQ,ETN,1.00%,,,$13.70 ,0.4," 11,262 ", 1.07 ,,,,,,,,,,,,,
FMU,ETF,0.05%,$0.12,1.61%,$13.60 ,0.5," 57,250 ", (1.09),,,,,,,,,,,,,
TPS,ETF,0.95%,,,$13.60 ,0.5," 5,484 ", 1.16 ,,,,,,,,,,,,,
MLPW,ETN,0.85%,$0.40,4.51%,$13.50 ,0.4," 1,267 ", 1.60 ,,,,,,,,,,,,,
PCA,ETF,0.73%,$0.20,2.89%,$13.50 ,1," 7,723 ", 1.07 ,,,,,,,,,,,,,
BHH,Grantor Trust,,$1.92,,$13.40 ,14.1," 193,662 ", (2.58),,,,,,,,,,,,,
WMH,Grantor Trust,,$0.01,2.55%,$13.40 ,0.3, 654 , 5.32 ,,,,,,,,,,,,,
DRV,ETF,0.95%,,,$13.30 ,0.2," 42,464 ", 4.01 ,,,,,,,,,,,,,
XVIX,ETN,0.85%,,,$13.30 ,0.8," 12,733 ", (1.28),,,,,,,,,,,,,
KBWI,ETF,0.35%,$0.23,1.82%,$13.20 ,0.2," 2,246 ", 1.31 ,,,,,,,,,,,,,
CSLS,ETN,0.45%,,,$13.10 ,0.5," 5,569 ", 3.20 ,,,,,,,,,,,,,
FIVZ,ETF,0.15%,$0.08,1.35%,$13.10 ,0.2," 1,288 ", (0.26),,,,,,,,,,,,,
HUSE,ETF,0.95%,$0.13,0.38%,$13.10 ,0.4," 68,723 ", 1.17 ,,,,,,,,,,,,,
UVT,ETF,0.95%,$0.02,0.25%,$13.00 ,0.2, 781 , 3.06 ,,,,,,,,,,,,,
IPW,ETF,0.50%,$0.25,4.07%,$12.90 ,0.5," 8,843 ", 1.44 ,,,,,,,,,,,,,
MKH,Grantor Trust,,$0.00,2.66%,$12.90 ,0.3," 1,089 ", 1.06 ,,,,,,,,,,,,,
RWG,ETF,0.89%,$0.05,0.11%,$12.90 ,0.3," 5,779 ", 1.34 ,,,,,,,,,,,,,
BSJK,ETF,0.42%,$0.10,0.60%,$12.80 ,0.5," 10,273 ", 0.29 ,,,,,,,,,,,,,
QQQC,ETF,0.65%,$0.08,0.38%,$12.80 ,0.6," 12,014 ", 1.99 ,,,,,,,,,,,,,
RWXL,ETN,0.40%,$0.11,5.84%,$12.80 ,0.4," 9,120 ", (4.78),,,,,,,,,,,,,
EEML,ETF,0.49%,$0.51,2.77%,$12.70 ,0.3," 2,073 ", (2.35),,,,,,,,,,,,,
GRID,ETF,0.70%,$0.08,1.36%,$12.50 ,0.4," 2,964 ", (1.85),,,,,,,,,,,,,
KBWC,ETF,0.35%,$0.24,1.97%,$12.50 ,0.3," 1,802 ", 1.42 ,,,,,,,,,,,,,
FMK,ETF,0.70%,$0.06,1.63%,$12.40 ,0.5," 2,888 ", 0.95 ,,,,,,,,,,,,,
MZZ,ETF,0.95%,$23.86,,$12.40 ,0.9," 21,455 ", (2.29),,,,,,,,,,,,,
ACIM,ETF,0.25%,$0.71,2.09%,$12.30 ,0.2," 3,150 ", 2.35 ,,,,,,,,,,,,,
ENOR,ETF,0.53%,$0.13,0.44%,$12.30 ,0.4," 8,225 ", 1.56 ,,,,,,,,,,,,,
RTLA,ETN,0.50%,,,$12.30 ,0.1, 547 , 4.70 ,,,,,,,,,,,,,
UBG,ETN,0.30%,,,$12.30 ,0.4," 15,722 ", (2.01),,,,,,,,,,,,,
PAO,ETF,0.79%,$0.14,2.23%,$12.20 ,1," 12,014 ", 1.63 ,,,,,,,,,,,,,
ROLA,ETN,0.50%,,,$12.20 ,0.1, 271 , (13.35),,,,,,,,,,,,,
RTL,ETF,0.48%,$0.37,3.30%,$12.20 ,0.4," 3,230 ", (1.42),,,,,,,,,,,,,
AXHE,ETF,0.48%,$0.31,1.92%,$12.10 ,0.2, 593 , 1.86 ,,,,,,,,,,,,,
UAG,ETN,0.65%,,,$12.00 ,0.5," 6,428 ", (1.10),,,,,,,,,,,,,
ULST,ETF,0.20%,$0.01,0.03%,$12.00 ,0.3,, 0.05 ,,,,,,,,,,,,,
ONN,ETN,0.85%,$0.28,0.93%,$11.90 ,0.4," 11,440 ", 1.19 ,,,,,,,,,,,,,
UGE,ETF,0.95%,$0.04,0.62%,$11.90 ,0.2," 2,802 ", 2.10 ,,,,,,,,,,,,,
MMTM,ETF,0.35%,$0.63,2.14%,$11.80 ,0.2," 2,233 ", 0.96 ,,,,,,,,,,,,,
JJM,ETN,0.75%,,,$11.70 ,0.4," 1,973 ", 1.24 ,,,,,,,,,,,,,
TDX,ETF,0.65%,$0.13,0.44%,$11.60 ,0.4, 560 , 6.90 ,,,,,,,,,,,,,
NASI,ETF,0.50%,$0.18,1.12%,$11.50 ,0.4," 5,285 ", 1.06 ,,,,,,,,,,,,,
TGR,ETF,0.29%,$0.03,1.72%,$11.50 ,0.4," 14,378 ", 0.39 ,,,,,,,,,,,,,
AGEM,ETF,0.75%,$0.35,1.53%,$11.30 ,0.5," 8,445 ", 1.97 ,,,,,,,,,,,,,
BUNT,ETN,0.95%,,,$11.30 ,0.4," 7,283 ", 1.61 ,,,,,,,,,,,,,
CSMB,ETN,0.55%,,,$11.20 ,0.5," 3,244 ", (1.40),,,,,,,,,,,,,
GASZ,ETN,0.85%,,,$11.00 ,0.4," 10,441 ", (2.03),,,,,,,,,,,,,
IIH,Grantor Trust,,$0.06,6.94%,$10.90 ,3.3," 7,549 ", 1.33 ,,,,,,,,,,,,,
OFF,ETN,1.15%,,,$10.90 ,0.6," 4,515 ", (1.31),,,,,,,,,,,,,
TENZ,ETF,0.15%,$0.13,1.66%,$10.90 ,0.1," 21,568 ", (0.53),,,,,,,,,,,,,
SBB,ETF,0.95%,$0.16,,$10.80 ,0.8," 27,884 ", (1.48),,,,,,,,,,,,,
USV,ETN,0.40%,,,$10.80 ,0.4," 13,800 ", (3.20),,,,,,,,,,,,,
JJP,ETN,0.75%,,,$10.70 ,0.2," 1,124 ", (2.50),,,,,,,,,,,,,
VZZ,ETN,0.89%,,,$10.70 ,1.1,, -   ,,,,,,,,,,,,,
ONEF,ETF,0.51%,$0.03,2.54%,$10.60 ,0.3," 5,976 ", 1.17 ,,,,,,,,,,,,,
PLTM,ETF,0.70%,$0.19,1.63%,$10.60 ,0.9," 6,733 ", (2.86),,,,,,,,,,,,,
WFVK,ETF,0.12%,$0.65,1.87%,$10.50 ,0.3," 5,369 ", 1.11 ,,,,,,,,,,,,,
EQIN,ETF,0.37%,$0.91,3.11%,$10.40 ,0.2," 25,698 ", 0.96 ,,,,,,,,,,,,,
PJB,ETF,0.60%,$0.08,1.64%,$10.40 ,0.8," 3,692 ", (1.12),,,,,,,,,,,,,
QLTC,ETF,0.55%,$0.31,6.42%,$10.40 ,0.2," 1,223 ", 0.85 ,,,,,,,,,,,,,
SLVY,ETF,0.30%,$0.28,1.87%,$10.40 ,0.2," 1,629 ", 1.05 ,,,,,,,,,,,,,
AADR,ETF,1.25%,$0.01,0.47%,$10.30 ,0.3," 7,398 ", 2.59 ,,,,,,,,,,,,,
EEME,ETF,0.49%,$0.31,2.33%,$10.30 ,0.2," 2,137 ", (2.18),,,,,,,,,,,,,
IBDC,ETF,0.10%,$0.25,1.18%,$10.20 ,0.1," 2,240 ", (0.38),,,,,,,,,,,,,
LGLV,ETF,0.20%,$0.39,1.94%,$10.20 ,0.2," 4,719 ", 0.98 ,,,,,,,,,,,,,
MONY,ETF,0.30%,$0.13,3.01%,$10.20 ,0.2," 3,153 ", 0.87 ,,,,,,,,,,,,,
UPW,ETF,0.95%,$0.52,2.20%,$10.20 ,0.2," 2,447 ", (1.98),,,,,,,,,,,,,
CHXX,ETF,0.85%,$0.24,1.29%,$10.10 ,0.6," 2,803 ", (2.17),,,,,,,,,,,,,
DNO,Commodity Pool,0.60%,,,$10.10 ,0.3," 18,448 ", (1.46),,,,,,,,,,,,,
HYND,ETF,0.48%,,,$10.10 ,0.4,, -   ,,,,,,,,,,,,,
OILZ,ETN,0.85%,,,$10.10 ,0.4," 6,479 ", 0.66 ,,,,,,,,,,,,,
TDD,ETF,0.65%,$0.07,0.28%,$10.10 ,0.4, 697 , 5.44 ,,,,,,,,,,,,,
THHY,ETF,1.45%,$0.09,1.95%,$10.10 ,0.4, 905 , 1.50 ,,,,,,,,,,,,,
AGND,ETF,0.28%,,,$10.00 ,0.2,, -   ,,,,,,,,,,,,,
AGZD,ETF,0.23%,,,$10.00 ,0.2,, -   ,,,,,,,,,,,,,
BWV,ETN,0.75%,,,$10.00 ,0.2," 2,254 ", 2.13 ,,,,,,,,,,,,,
FFVX,ETN,1.35%,,,$10.00 ,0.1, 293 , (5.15),,,,,,,,,,,,,
SLQD,ETF,0.15%,$0.07,0.13%,$10.00 ,0.2,, (0.13),,,,,,,,,,,,,
UTLT,ETF,0.45%,$0.42,2.68%,$10.00 ,0.4," 29,589 ", 1.31 ,,,,,,,,,,,,,
YANG,ETF,0.95%,,,$10.00 ,0.5," 25,975 ", (6.73),,,,,,,,,,,,,
AND,ETF,0.72%,$0.26,2.36%,$9.90 ,0.9," 4,831 ", (1.37),,,,,,,,,,,,,
FONE,ETF,0.70%,$0.05,0.86%,$9.90 ,0.3," 1,336 ", 1.40 ,,,,,,,,,,,,,
IBDD,ETF,0.10%,$0.29,1.43%,$9.90 ,0.1," 1,615 ", 0.76 ,,,,,,,,,,,,,
WCAT,ETF,0.65%,$0.02,0.66%,$9.90 ,0.3," 1,848 ", (2.49),,,,,,,,,,,,,
PKN,ETF,0.75%,$0.10,1.70%,$9.80 ,0.6," 3,587 ", (1.22),,,,,,,,,,,,,
BRAZ,ETF,0.69%,$0.45,3.50%,$9.70 ,0.8," 5,613 ", (2.54),,,,,,,,,,,,,
WDIV,ETF,0.40%,$0.78,2.19%,$9.70 ,0.2," 1,728 ", 1.05 ,,,,,,,,,,,,,
ABCS,ETF,0.65%,$0.31,5.42%,$9.60 ,0.5," 5,542 ", (1.25),,,,,,,,,,,,,
AMPS,ETF,0.30%,$0.14,3.12%,$9.60 ,0.2," 4,654 ", (1.19),,,,,,,,,,,,,
AYT,ETN,0.89%,$0.10,2.24%,$9.60 ,0.2," 3,451 ", (1.32),,,,,,,,,,,,,
TIPX,ETF,0.15%,$0.01,0.14%,$9.60 ,0.5," 4,713 ", (0.43),,,,,,,,,,,,,
BONO,ETF,0.49%,$0.09,4.40%,$9.50 ,0.4," 5,807 ", 1.12 ,,,,,,,,,,,,,
VIIX,ETN,0.89%,,,$9.50 ,0.2," 169,247 ", (3.70),,,,,,,,,,,,,
BLND,ETN,0.70%,,,$9.40 ,0.4," 9,097 ", (1.30),,,,,,,,,,,,,
IRV,ETF,0.50%,$0.24,3.05%,$9.30 ,0.4," 6,788 ", (1.35),,,,,,,,,,,,,
JNUG,ETF,0.95%,,,$9.20 ,0.6,, (12.81),,,,,,,,,,,,,
UVG,ETF,0.95%,$0.05,0.21%,$9.10 ,0.2, 731 , 2.28 ,,,,,,,,,,,,,
KROO,ETF,0.69%,$0.39,2.19%,$9.00 ,0.5," 2,588 ", (2.47),,,,,,,,,,,,,
RDIV,ETF,0.49%,,,$9.00 ,0.4,, (1.03),,,,,,,,,,,,,
TYBS,ETF,0.65%,,,$9.00 ,0.3," 2,441 ", 1.03 ,,,,,,,,,,,,,
VRD,ETF,0.20%,$0.00,0.02%,$9.00 ,0.3," 10,067 ", 0.15 ,,,,,,,,,,,,,
BSCM,ETF,0.24%,$0.06,1.26%,$8.90 ,0.5," 8,868 ", 0.65 ,,,,,,,,,,,,,
SAGG,ETF,0.65%,,,$8.90 ,0.3," 14,706 ", 0.35 ,,,,,,,,,,,,,
FLAG,ETF,0.85%,$0.29,0.99%,$8.80 ,0.3," 8,531 ", (1.90),,,,,,,,,,,,,
TZD,ETF,0.30%,$0.03,1.77%,$8.80 ,0.3," 9,153 ", 0.67 ,,,,,,,,,,,,,
DCNG,ETN,0.75%,,,$8.70 ,0.3," 1,283 ", 1.60 ,,,,,,,,,,,,,
CRBA,ETF,0.65%,$0.07,1.75%,$8.50 ,0.2," 1,100 ", (1.56),,,,,,,,,,,,,
LATM,ETF,0.63%,$0.19,1.02%,$8.50 ,0.5," 3,640 ", (1.87),,,,,,,,,,,,,
MIDZ,ETF,0.95%,,,$8.50 ,0.5," 33,094 ", (3.56),,,,,,,,,,,,,
NUCL,ETF,0.48%,$0.35,3.11%,$8.50 ,0.2," 4,407 ", 1.50 ,,,,,,,,,,,,,
PIC,ETF,0.60%,$0.12,1.21%,$8.50 ,0.5," 5,898 ", 1.20 ,,,,,,,,,,,,,
TZY,ETF,0.33%,$0.10,1.90%,$8.50 ,0.3," 6,769 ", 0.93 ,,,,,,,,,,,,,
BUNL,ETN,0.50%,,,$8.30 ,0.4," 5,800 ", (2.55),,,,,,,,,,,,,
KME,ETF,0.35%,$0.24,2.41%,$8.30 ,0.2," 1,739 ", 1.96 ,,,,,,,,,,,,,
FLN,ETF,0.80%,$0.02,2.28%,$8.20 ,0.4," 3,405 ", (2.34),,,,,,,,,,,,,
IQDY,ETF,0.47%,$0.24,1.86%,$8.20 ,0.3," 10,956 ", (1.41),,,,,,,,,,,,,
CAFE,ETN,0.75%,,,$8.10 ,0.5," 10,795 ", 2.94 ,,,,,,,,,,,,,
PQY,ETF,0.75%,$0.18,0.66%,$8.10 ,0.3," 5,470 ", 1.23 ,,,,,,,,,,,,,
DPK,ETF,0.95%,,,$8.00 ,0.2," 6,741 ", (3.32),,,,,,,,,,,,,
DSXJ,ETN,0.85%,,,$8.00 ,0.2, 668 , (6.54),,,,,,,,,,,,,
HDIV,ETF,0.33%,$0.32,1.69%,$7.90 ,0.3," 13,878 ", 0.78 ,,,,,,,,,,,,,
TRSY,ETF,0.15%,$0.13,2.17%,$7.90 ,0.1, 285 , (0.88),,,,,,,,,,,,,
VLU,ETF,0.35%,$0.34,1.61%,$7.90 ,0.1, 685 , 1.57 ,,,,,,,,,,,,,
AXSL,ETF,0.48%,$0.56,2.05%,$7.80 ,0.1, 806 , (2.30),,,,,,,,,,,,,
BIS,ETF,0.95%,,,$7.80 ,0.4," 23,011 ", (4.25),,,,,,,,,,,,,
ICI,ETN,0.65%,,,$7.80 ,0.2," 3,360 ", (1.06),,,,,,,,,,,,,
IPF,ETF,0.50%,$0.56,5.95%,$7.80 ,0.4," 3,391 ", 1.67 ,,,,,,,,,,,,,
DSTJ,ETN,0.85%,,,$7.70 ,0.2," 1,422 ", (10.81),,,,,,,,,,,,,
JPNL,ETF,0.95%,,,$7.70 ,0.2," 6,344 ", 4.11 ,,,,,,,,,,,,,
OLO,ETN,0.75%,,,$7.60 ,0.6," 3,017 ", 3.81 ,,,,,,,,,,,,,
PLK,ETF,0.30%,$0.01,0.88%,$7.60 ,0.3," 3,475 ", 0.30 ,,,,,,,,,,,,,
RWV,ETF,0.60%,$0.09,1.87%,$7.60 ,0.2, 984 , 2.04 ,,,,,,,,,,,,,
CVRT,ETF,0.36%,$0.06,2.50%,$7.50 ,0.3," 7,689 ", 1.80 ,,,,,,,,,,,,,
EMT,ETF,0.85%,$0.43,4.28%,$7.50 ,0.8," 12,113 ", (2.35),,,,,,,,,,,,,
PKOL,ETF,0.75%,$0.14,2.52%,$7.50 ,0.4," 6,132 ", (2.15),,,,,,,,,,,,,
ARGT,ETF,0.75%,$0.09,0.45%,$7.40 ,0.4," 7,366 ", (2.47),,,,,,,,,,,,,
CNPF,ETF,0.58%,$0.04,4.12%,$7.40 ,0.6," 6,830 ", (1.36),,,,,,,,,,,,,
EMMT,ETF,0.66%,$0.16,2.70%,$7.40 ,0.5," 2,664 ", (2.31),,,,,,,,,,,,,
GLCB,ETF,0.45%,$0.19,2.23%,$7.40 ,0.1," 1,875 ", 1.08 ,,,,,,,,,,,,,
WXSP,ETF,0.18%,$0.57,1.54%,$7.40 ,0.2," 1,823 ", 1.75 ,,,,,,,,,,,,,
GQRE,ETF,0.45%,,,$7.30 ,0.2,, -   ,,,,,,,,,,,,,
SLVP,ETF,0.39%,$0.13,1.73%,$7.30 ,0.7," 17,467 ", (3.90),,,,,,,,,,,,,
UBN,ETN,0.65%,,,$7.30 ,0.5," 18,331 ", 1.69 ,,,,,,,,,,,,,
SMLV,ETF,0.25%,$0.92,2.72%,$7.10 ,0.1," 3,770 ", 1.20 ,,,,,,,,,,,,,
WEAT,Commodity Pool,1.00%,,,$7.10 ,0.5," 8,998 ", (1.66),,,,,,,,,,,,,
EIPO,ETN,0.65%,,,$7.00 ,0.4," 8,293 ", 3.04 ,,,,,,,,,,,,,
FCGL,ETF,0.95%,$0.05,0.08%,$7.00 ,0.1,, -   ,,,,,,,,,,,,,
QEH,ETF,1.64%,$0.18,0.64%,$7.00 ,0.3," 20,544 ", 0.91 ,,,,,,,,,,,,,
VXFF,ETN,0.85%,,,$7.00 ,0.1, 443 , (4.77),,,,,,,,,,,,,
FLG,ETF,0.05%,$0.12,1.87%,$6.90 ,0.3," 17,000 ", (1.21),,,,,,,,,,,,,
SCLP,ETF,0.45%,$0.22,0.98%,$6.90 ,0.1," 3,593 ", 3.08 ,,,,,,,,,,,,,
DRGS,ETN,0.60%,,,$6.80 ,0.2," 1,174 ", 2.42 ,,,,,,,,,,,,,
JJE,ETN,0.75%,,,$6.80 ,0.4," 1,936 ", 1.23 ,,,,,,,,,,,,,
LTL,ETF,0.95%,$0.08,0.71%,$6.80 ,0.1, 428 , 4.39 ,,,,,,,,,,,,,
NGE,ETF,0.68%,,,$6.80 ,0.5," 8,410 ", 1.41 ,,,,,,,,,,,,,
UBR,ETF,0.95%,,,$6.80 ,0.1," 2,164 ", (5.09),,,,,,,,,,,,,
XRU,Grantor Trust,0.40%,,0.73%,$6.80 ,0.2," 3,028 ", 0.51 ,,,,,,,,,,,,,
JDST,ETF,0.95%,,,$6.70 ,0.1,, 12.67 ,,,,,,,,,,,,,
NASH,ETF,0.49%,,,$6.70 ,0.3," 1,195 ", 1.70 ,,,,,,,,,,,,,
OGEM,ETF,0.85%,$0.57,2.57%,$6.70 ,0.3," 7,995 ", 2.12 ,,,,,,,,,,,,,
SCTR,ETF,0.45%,$0.35,1.59%,$6.70 ,0.1," 1,300 ", 3.99 ,,,,,,,,,,,,,
AXUT,ETF,0.48%,$0.57,3.99%,$6.60 ,0.2," 1,642 ", 2.86 ,,,,,,,,,,,,,
COBO,ETF,0.35%,$0.07,0.97%,$6.60 ,0.1, 797 , 0.63 ,,,,,,,,,,,,,
JJT,ETN,0.75%,,,$6.60 ,0.1," 2,762 ", 4.01 ,,,,,,,,,,,,,
SCOG,ETF,0.45%,$0.05,0.19%,$6.50 ,0.1, 433 , 3.48 ,,,,,,,,,,,,,
SGGG,ETF,0.45%,$0.01,0.06%,$6.40 ,0.1," 2,314 ", (5.86),,,,,,,,,,,,,
JYF,ETF,0.35%,$0.05,,$6.30 ,0.2," 1,700 ", 0.85 ,,,,,,,,,,,,,
TWTI,ETN,1.10%,,,$6.30 ,0.3," 1,187 ", (0.32),,,,,,,,,,,,,
AAIT,ETF,0.69%,$0.26,0.91%,$6.20 ,0.2," 1,886 ", 1.90 ,,,,,,,,,,,,,
VXEE,ETN,0.85%,,,$6.20 ,0.1, 273 , (4.84),,,,,,,,,,,,,
CHOC,ETN,0.75%,,,$6.10 ,0.2," 3,030 ", 2.12 ,,,,,,,,,,,,,
DDP,ETN,0.75%,,,$6.10 ,0.2," 1,900 ", (3.14),,,,,,,,,,,,,
EMBB,ETF,0.55%,$0.10,0.16%,$6.00 ,0.1,, -   ,,,,,,,,,,,,,
EMFN,ETF,0.66%,$0.13,2.41%,$6.00 ,0.3," 1,262 ", (1.86),,,,,,,,,,,,,
FCD,ETF,0.19%,$0.18,2.40%,$6.00 ,0.2," 8,250 ", (0.93),,,,,,,,,,,,,
FEFN,ETF,0.48%,$0.51,2.42%,$6.00 ,0.2," 1,413 ", 2.34 ,,,,,,,,,,,,,
FHC,ETF,0.19%,$0.14,1.76%,$6.00 ,0.2," 6,600 ", (1.35),,,,,,,,,,,,,
GERJ,ETF,0.55%,$0.35,1.17%,$6.00 ,0.2," 2,720 ", 2.20 ,,,,,,,,,,,,,
GIVE,ETF,1.70%,$0.23,0.39%,$6.00 ,0.1, 648 , 0.83 ,,,,,,,,,,,,,
IESM,ETF,0.35%,$0.13,1.17%,$6.00 ,0.2," 4,093 ", 1.13 ,,,,,,,,,,,,,
JJS,ETN,0.75%,,,$6.00 ,0.1, 700 , (1.70),,,,,,,,,,,,,
